Name,Created,Prova
Introdução à Dinâmica,"March 29, 2022 10:36 AM",P1
Cinemática de Partículas,"March 29, 2022 10:36 AM",P1
Cinética de Partículas,"April 24, 2022 8:22 PM",P1
Cinética de Sistemas de Partículas,"May 3, 2022 4:33 PM",P2
Cinemática Plana de Corpos Rígidos: Rotação e Movimento Absoluto,"May 10, 2022 3:59 PM",P2
Cinemática Plana de Corpos Rígidos: Velocidade Relativa e Centro Instantâneo de Velocidade Nula,"May 30, 2022 9:21 AM",P2
Cinemática Plana de Corpos Rígidos: Aceleração Relativa e Movimento em Relação a Eixos que Giram,"May 31, 2022 4:00 PM",P2
Cinética Plana de Corpos Rígidos: Equações Gerais de Movimento e Translação,"June 1, 2022 10:40 AM",P2
Cinética Plana de Corpos Rígidos: Rotação em Torno de um Eixo Fixo e Movimento Plano Geral,"June 1, 2022 12:55 PM",P2
Cinética Plana de Corpos Rígidos: Trabalho e Energia,"June 1, 2022 2:48 PM",P2
Cinemática Tridimensional de Corpos Rígidos: Translação e Rotação,"July 1, 2022 3:22 PM",P3
Cinemática Tridimensional de Corpos Rígidos: Movimento Geral,"July 2, 2022 11:54 AM",P3
"Mecânica Analítica: Vínculos, Graus de Liberdade, Coordenadas Generalizadas e Princípio do Trabalho Virtual","July 3, 2022 10:16 AM",P3
"Mecânica Analítica: Princípio de D’Alembert, Forças Generalizadas e Equações de Lagrange","July 3, 2022 2:57 PM",P3