Name,Aula,Created,Prova
"Cargas, Corrente, Tensão e Potência ",Aula 1,"March 18, 2021 9:05 PM",P1
Bipolos,Aula 1,"March 18, 2021 9:05 PM",P1
Convenções,Aula 1,"March 18, 2021 9:05 PM",P1
Leis de Kirchhoff,Aula 2,"March 23, 2021 7:21 PM",P1
"Matriz de Incidência, Análise Nodal e de Malhas",Aula 3,"April 6, 2021 8:03 PM",P1
Análise Nodal e de Malhas Modificadas,Aula 4,"April 13, 2021 9:17 AM",P1
Circuitos Equivalentes de Thevenim e Norton,Aula 5,"April 21, 2021 11:34 AM",P1
Simplificação na Análise de Circuitos,Aula 5,"April 21, 2021 10:35 AM",P1
Transformação de Fontes,Aula 5,"April 21, 2021 11:18 AM",P1
Circuitos Lineares e Teoria de Superposição,Aula 6,"April 27, 2021 7:28 PM",P2
AmpOps,Aula 7,"May 17, 2021 8:06 PM",P2
Capacitores,Aula 7,"May 18, 2021 10:26 AM",P2
Indutores,Aula 7,"May 18, 2021 10:49 AM",P2
Circuitos RC Autônomos,Aula 8,"May 19, 2021 10:23 AM",P2
Circuitos RC com fontes DC,Aula 9,"May 19, 2021 10:59 AM",P2
Circuitos RL com fontes DC,Aula 9,"May 19, 2021 11:33 AM",P2
Circuito RLC Paralelo Autônomo,Aula 10,"May 27, 2021 7:06 PM",P3
Circuito RLC com Fontes $DC$,Aula 11,"June 9, 2021 7:08 PM",P3
Circuitos com Excitação Senoidal,Aula 12,"June 9, 2021 8:13 PM",P3
Fasores,Aula 13,"June 9, 2021 9:35 PM",P3
Relação Fasorial $V - I$,Aula 13,"June 9, 2021 10:06 PM",P3
Impedância,Aula 14,"June 22, 2021 10:20 AM",P3
Números Coplexos & Fasores ⇒ Revisão,EXTRA,"June 22, 2021 7:17 PM",P3
Potência $AC$,Aula 15,"June 26, 2021 11:08 AM",P3