Name,Aula,Capítulo,Created,Prova
Aula de Introdução,Aula01,Cap. 1,"August 9, 2021 9:28 PM",P1
Conceitos Básicos,Aula02,Cap. 1,"August 9, 2021 9:28 PM",P1
Vetores Força,Aula03,Cap. 2,"August 9, 2021 9:28 PM",P1
Momento,Aula04,Cap. 4,"September 4, 2021 1:08 PM",P1
Equilíbrio De Um Corpo Rígido - 2 Dimensões,Aula05,Cap. 5,"September 14, 2021 9:07 PM",P1
Equilíbrio De Um Corpo Rígido - 3 dimensões,,Cap. 5,"September 30, 2021 10:10 AM",P1
Análise Estrutural - Treliças [Métodos de nós],,Cap. 6,"December 1, 2021 7:39 PM",P2
Análise Estrutural - Treliças [Métodos das Seções],,Cap. 6,"December 2, 2021 3:47 PM",P2
Forças Internas - Desenvolvidas em Elementos Estruturais,,Cap. 7,"December 2, 2021 4:41 PM",P2
Atrito Seco - Corpos Não Roliços,,Cap. 8,"December 4, 2021 3:44 PM",P2